batch_size,cache_state,ci95_overlap,device_label,marginal_rank,num_steps,oracle_action,oracle_runtime_s,relative_margin,runner_up_action,runner_up_runtime_s,time_accounting_mode,workload_id
16,cold_cache,True,RTX 4060,True,100,graphs_only,0.06878,0.004013,best_eager,0.069056,cold_total,prefill_toy
16,cold_cache,False,RTX 4060,False,500,graphs_only,0.091295,0.162692,best_eager,0.106148,cold_total,prefill_toy
32,cold_cache,True,RTX 4060,True,10,best_eager,0.062084,0.005605,eager,0.062432,cold_total,prefill_toy
32,cold_cache,True,RTX 4060,True,50,best_eager,0.065653,0.026594,eager,0.067399,cold_total,prefill_toy
32,cold_cache,True,RTX 4060,True,100,best_eager,0.070818,0.00353,eager,0.071068,cold_total,prefill_toy
32,cold_cache,True,RTX 4060,True,500,graphs_only,0.103246,0.039169,best_eager,0.10729,cold_total,prefill_toy
1,cold_cache,True,RTX 4060,True,10,best_eager,0.040044,0.010863,eager,0.040479,cold_total,rl_policy_infer
1,cold_cache,True,RTX 4060,True,50,eager,0.040481,0.025073,best_eager,0.041496,cold_total,rl_policy_infer
1,cold_cache,True,RTX 4060,True,100,eager,0.043022,0.002324,graphs_only,0.043122,cold_total,rl_policy_infer
1,cold_cache,False,RTX 4060,False,500,graphs_only,0.045369,0.204898,eager,0.054665,cold_total,rl_policy_infer
4,cold_cache,True,RTX 4060,True,10,eager,0.040402,0.018291,best_eager,0.041141,cold_total,rl_policy_infer
4,cold_cache,True,RTX 4060,True,50,best_eager,0.041049,0.000439,eager,0.041067,cold_total,rl_policy_infer
4,cold_cache,True,RTX 4060,True,100,graphs_only,0.042153,0.005433,eager,0.042382,cold_total,rl_policy_infer
4,cold_cache,False,RTX 4060,False,500,graphs_only,0.045873,0.193404,best_eager,0.054745,cold_total,rl_policy_infer
16,cold_cache,True,RTX 4060,True,10,best_eager,0.040087,0.020954,eager,0.040927,cold_total,rl_policy_infer
16,cold_cache,True,RTX 4060,True,50,eager,0.040599,0.000197,best_eager,0.040607,cold_total,rl_policy_infer
16,cold_cache,True,RTX 4060,True,100,graphs_only,0.042317,0.001087,best_eager,0.042363,cold_total,rl_policy_infer
16,cold_cache,False,RTX 4060,False,500,graphs_only,0.045215,0.2092,eager,0.054674,cold_total,rl_policy_infer
32,cold_cache,True,RTX 4060,True,10,best_eager,0.045257,0.012617,eager,0.045828,cold_total,rl_policy_infer
32,cold_cache,True,RTX 4060,True,50,eager,0.046043,0.003909,best_eager,0.046223,cold_total,rl_policy_infer
