device,load_level,mean_arrival_rate_lambda,mean_effective_offered_load,mean_missed_opportunity_count,mean_p95_completion_time_s,mean_p95_wait_time_s,mean_service_time_s,mean_throughput_jobs_per_s,mean_wasted_optimization_overhead_s,mean_wrong_admit_count,num_seeds,policy,target_utilization,unstable_seed_count
RTX 4060,light,2.269789,0.346455,5.8,2.325179,2.040437,0.152638,2.267369,13.490046,155.0,5,first_k_probe_policy,0.35,0
RTX 4060,light,2.269789,3.49306,62.0,1050.872474,1049.610709,1.538936,0.649891,970.166187,496.0,5,job_length_only,0.35,5
RTX 4060,light,2.269789,0.342732,0.0,2.267122,1.940515,0.150997,2.267397,0.0,0.0,5,oracle_best_action,0.35,0
RTX 4060,light,2.269789,0.346225,5.8,2.326303,2.039004,0.152536,2.267367,12.92301,151.2,5,risk_aware_policy,0.35,0
RTX 4060,light,2.269789,1.217177,0.0,98.927494,98.448748,0.536251,1.855262,274.623425,434.2,5,shape_only,0.35,5
RTX 4060,light,2.269789,0.34611,62.0,2.327154,2.039027,0.152485,2.267368,6.163545,103.4,5,static_gate_only,0.35,0
RTX 4060,light,2.269789,0.346237,62.0,2.326983,2.039027,0.152541,2.267368,6.163545,61.6,5,static_gate_plus_eligibility,0.35,0
RTX 4060,light,2.269789,0.810008,62.0,14.238603,13.73514,0.356865,2.251363,139.615381,138.4,5,static_threshold,0.35,0
RTX 4060,light,2.269789,0.347275,118.0,2.32698,2.038288,0.152999,2.267377,6.426749,63.6,5,workload_agnostic_logreg_policy,0.35,0
RTX 4060,light,2.269789,0.347052,97.0,2.326138,2.03712,0.152901,2.267377,5.818685,57.6,5,workload_agnostic_tree_policy,0.35,0
RTX 4060,light,2.269789,0.351287,294.2,2.294119,1.97856,0.154766,2.267354,0.0,0.0,5,workload_family_holdout_policy,0.35,0
RTX 4060,medium,4.215322,0.649405,294.2,4.61489,4.334875,0.154058,4.199699,0.0,0.0,5,always_best_eager,0.65,0
RTX 4060,medium,4.215322,12.464079,0.0,2585.726044,2582.615868,2.956851,0.338212,1953.53935,1000.0,5,always_compile,0.65,5
RTX 4060,medium,4.215322,8.585136,0.0,1710.988877,1710.275307,2.03665,0.491027,1326.560724,767.0,5,always_compile_plus_graphs,0.65,5
RTX 4060,medium,4.215322,12.500478,0.0,2593.97749,2590.828652,2.965486,0.337227,1957.997798,1000.0,5,always_compile_reduce_overhead,0.65,5
RTX 4060,medium,4.215322,0.649405,0.0,4.61489,4.334875,0.154058,4.199699,0.0,0.0,5,always_cpu,0.65,0
RTX 4060,medium,4.215322,0.65239,294.2,4.633727,4.354088,0.154766,4.199634,0.0,0.0,5,always_eager,0.65,0
RTX 4060,medium,4.215322,0.645532,0.0,4.705426,4.418083,0.153139,4.199651,25.475245,383.2,5,always_graphs,0.65,0
RTX 4060,medium,4.215322,0.661862,0.0,4.86878,4.608408,0.157013,4.199213,37.70035,562.6,5,always_graphs_input_copy,0.65,0
RTX 4060,medium,4.215322,0.65239,294.2,4.633727,4.354088,0.154766,4.199634,0.0,0.0,5,amort_ablation_startup_only,0.65,0
RTX 4060,medium,4.215322,0.642295,62.0,4.668655,4.399551,0.152371,4.199636,6.163545,61.6,5,amort_ablation_startup_step,0.65,0
RTX 4060,medium,4.215322,0.642295,62.0,4.668655,4.399551,0.152371,4.199636,6.163545,61.6,5,amort_ablation_startup_step_risk,0.65,0
RTX 4060,medium,4.215322,0.646212,0.0,4.714776,4.428451,0.153301,4.199594,25.475245,307.8,5,amort_ablation_step_only,0.65,0
RTX 4060,medium,4.215322,0.642295,62.0,4.668655,4.399551,0.152371,4.199636,6.163545,61.6,5,amortization_policy,0.65,0
RTX 4060,medium,4.215322,0.643417,5.8,4.682834,4.406635,0.152638,4.199636,13.490046,155.0,5,first_k_probe_policy,0.65,0
RTX 4060,medium,4.215322,6.487112,62.0,1244.740085,1243.837807,1.538936,0.649929,970.166187,496.0,5,job_length_only,0.65,5
RTX 4060,medium,4.215322,0.636502,0.0,4.501115,4.257395,0.150997,4.199948,0.0,0.0,5,oracle_best_action,0.65,0
RTX 4060,medium,4.215322,0.642988,5.8,4.668907,4.402455,0.152536,4.199629,12.92301,151.2,5,risk_aware_policy,0.65,0
RTX 4060,medium,4.215322,2.260471,0.0,286.501837,286.208364,0.536251,1.869803,274.623425,434.2,5,shape_only,0.65,5
RTX 4060,medium,4.215322,0.642775,62.0,4.673945,4.404106,0.152485,4.199669,6.163545,103.4,5,static_gate_only,0.65,0
